company_id,company_name,message
ABB,Abbott India Ltd,No peer group assigned
ADANIENSOL,Adani Energy Solutions Ltd,No peer group assigned
ADANIENT,Adani Enterprises Ltd,No peer group assigned
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",No peer group assigned
AMBUJACEM,Ambuja Cements Ltd,No peer group assigned
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",No peer group assigned
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",No peer group assigned
BAJAJFINSV,Bajaj Finserv Ltd,No peer group assigned
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,No peer group assigned
BEL,Bharat Electronics Ltd,No peer group assigned
BHARTIARTL,Bharti Airtel Ltd,No peer group assigned
BHEL,"Bharat Heavy Electricals Limited
",No peer group assigned
BOSCHLTD,Bosch Ltd,No peer group assigned
COALINDIA,Coal India Ltd,No peer group assigned
DLF,DLF Ltd,No peer group assigned
DMART,Avenue Supermarts Ltd,No peer group assigned
GRASIM,Grasim Industries Ltd,No peer group assigned
HAL,Hindustan Aeronautics Ltd,No peer group assigned
HAVELLS,Havells India Ltd,No peer group assigned
ICICIGI,ICICI Lombard General Insurance Company Ltd,No peer group assigned
INDIGO,Interglobe Aviation Ltd,No peer group assigned
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,No peer group assigned
IRFC,Indian Railway Finance Corporation Ltd,No peer group assigned
JIOFIN,Jio Financial Services Ltd,No peer group assigned
LODHA,Macrotech Developers Ltd,No peer group assigned
LT,Larsen & Toubro Ltd,No peer group assigned
MOTHERSON,Samvardhana Motherson International Ltd,No peer group assigned
NAUKRI,Info Edge (India) Ltd,No peer group assigned
PFC,Power Finance Corporation Ltd,No peer group assigned
PIDILITIND,Pidilite Industries Ltd,No peer group assigned
RECLTD,REC Ltd,No peer group assigned
SHREECEM,Shree Cement Ltd,No peer group assigned
SIEMENS,Siemens Ltd,No peer group assigned
TITAN,"Titan Company Ltd
",No peer group assigned
TRENT,Trent Ltd,No peer group assigned
